match_id,season_id,match_date,venue,city,team1,team2,toss_winner,toss_decision,match_winner,win_by_runs,win_by_wickets,result,player_name
1321307,2022,2022-07-09,"Scott Page Field, Vinor",Prague,Czech Republic,Austria,Austria,field,Austria,0,4,normal,Shahil Momin
1321308,2022,2022-07-09,"Scott Page Field, Vinor",Prague,Austria,Luxembourg,Luxembourg,field,Austria,35,0,normal,Razmal Shigiwal
1321309,2022,2022-07-10,"Scott Page Field, Vinor",Prague,Czech Republic,Luxembourg,Czech Republic,bat,Czech Republic,36,0,normal,S Wickramasekara
1321310,2022,2022-07-10,"Scott Page Field, Vinor",Prague,Austria,Czech Republic,Czech Republic,field,Czech Republic,0,6,normal,A Ashokan
1321311,2022,2022-06-28,"Indian Association Ground, Singapore",Singapore,Malaysia,Singapore,Singapore,field,Singapore,0,4,normal,U Aryaman Sunil
1321312,2022,2022-06-29,"Indian Association Ground, Singapore",Singapore,Malaysia,Singapore,Malaysia,bat,Malaysia,23,0,normal,M Syahadat Ramli
1321313,2022,2022-06-30,"Indian Association Ground, Singapore",Singapore,Singapore,Malaysia,Singapore,bat,Malaysia,0,5,normal,S Muniandy
1321335,2022,2022-06-28,"Sportpark Harga, Schiedam",Schiedam,Netherlands,Namibia,Netherlands,bat,Netherlands,70,0,normal,
1321336,2022,2022-06-30,"Sportpark Westvliet, Voorburg",The Hague,Namibia,Netherlands,Netherlands,field,Netherlands,5,0,normal,
1321337,2022,2022-07-01,"Sportpark Westvliet, Voorburg",The Hague,Netherlands,Namibia,Namibia,field,Netherlands,2,0,normal,
1321465,2022,2022-07-11,"Queens Sports Club, Bulawayo",Bulawayo,Zimbabwe,Singapore,Singapore,field,Zimbabwe,111,0,normal,Sikandar Raza
1321466,2022,2022-07-11,Bulawayo Athletic Club,Bulawayo,Jersey,United States of America,United States of America,field,United States of America,0,8,normal,SR Taylor
1321467,2022,2022-07-11,"Queens Sports Club, Bulawayo",Bulawayo,Netherlands,Papua New Guinea,Netherlands,bat,Netherlands,52,0,normal,BFW de Leede
1321468,2022,2022-07-11,Bulawayo Athletic Club,Bulawayo,Hong Kong,Uganda,Hong Kong,bat,Uganda,0,2,normal,DM Nakrani
1321469,2022,2022-07-12,"Queens Sports Club, Bulawayo",Bulawayo,Zimbabwe,Jersey,Jersey,field,Zimbabwe,23,0,normal,SC Williams
1321470,2022,2022-07-12,Bulawayo Athletic Club,Bulawayo,United States of America,Singapore,Singapore,field,United States of America,132,0,normal,SN Netravalkar
1321471,2022,2022-07-12,"Queens Sports Club, Bulawayo",Bulawayo,Hong Kong,Netherlands,Hong Kong,bat,Netherlands,0,7,normal,LV van Beek
1321472,2022,2022-07-12,Bulawayo Athletic Club,Bulawayo,Uganda,Papua New Guinea,Papua New Guinea,field,Papua New Guinea,0,8,normal,A Vala
1321473,2022,2022-07-14,"Queens Sports Club, Bulawayo",Bulawayo,Netherlands,Uganda,Uganda,field,Netherlands,97,0,normal,TLW Cooper
1321474,2022,2022-07-14,Bulawayo Athletic Club,Bulawayo,Papua New Guinea,Hong Kong,Hong Kong,field,Hong Kong,0,2,normal,Babar Hayat
1321475,2022,2022-07-14,"Queens Sports Club, Bulawayo",Bulawayo,Zimbabwe,United States of America,Zimbabwe,bat,Zimbabwe,46,0,normal,Sikandar Raza
1321477,2022,2022-07-15,"Queens Sports Club, Bulawayo",Bulawayo,Uganda,Jersey,Uganda,bat,Uganda,5,0,normal,
1321478,2022,2022-07-15,Bulawayo Athletic Club,Bulawayo,Singapore,Hong Kong,Hong Kong,field,Hong Kong,0,7,normal,Nizakat Khan
1321479,2022,2022-07-15,"Queens Sports Club, Bulawayo",Bulawayo,Zimbabwe,Papua New Guinea,Zimbabwe,bat,Zimbabwe,27,0,normal,TP Ura
1321480,2022,2022-07-15,Bulawayo Athletic Club,Bulawayo,United States of America,Netherlands,United States of America,bat,Netherlands,0,7,normal,BFW de Leede
1321481,2022,2022-07-17,"Queens Sports Club, Bulawayo",Bulawayo,Uganda,Hong Kong,Hong Kong,field,Uganda,4,0,normal,J Miyaji
1321482,2022,2022-07-17,Bulawayo Athletic Club,Bulawayo,Singapore,Jersey,Singapore,bat,Jersey,0,6,normal,NA Greenwood
1321483,2022,2022-07-17,Bulawayo Athletic Club,Bulawayo,Papua New Guinea,United States of America,United States of America,field,Papua New Guinea,5,0,normal,CA Soper
1321484,2022,2022-07-17,"Queens Sports Club, Bulawayo",Bulawayo,Zimbabwe,Netherlands,Zimbabwe,bat,Zimbabwe,37,0,normal,Sikandar Raza
1321998,2022,2022-07-02,"UKM-YSD Cricket Oval, Bangi",Bangi,Malaysia,Bhutan,Bhutan,field,Malaysia,155,0,normal,Zubaidi Zulkifle
1322001,2022,2022-07-04,"UKM-YSD Cricket Oval, Bangi",Bangi,Thailand,Malaysia,Thailand,bat,Malaysia,0,9,normal,Syazrul Idrus
1322002,2022,2022-07-04,"UKM-YSD Cricket Oval, Bangi",Bangi,Bhutan,Maldives,Maldives,field,Bhutan,6,0,normal,Namgay Thinley
1322003,2022,2022-07-06,"UKM-YSD Cricket Oval, Bangi",Bangi,Thailand,Bhutan,Bhutan,field,Bhutan,0,6,normal,Ngawang Thinley
1322004,2022,2022-07-06,"UKM-YSD Cricket Oval, Bangi",Bangi,Maldives,Malaysia,Malaysia,field,Malaysia,0,8,normal,Virandeep Singh
1322005,2022,2022-07-07,"UKM-YSD Cricket Oval, Bangi",Bangi,Bhutan,Maldives,Maldives,field,Bhutan,2,0,normal,Namgay Thinley
1322006,2022,2022-07-07,"UKM-YSD Cricket Oval, Bangi",Bangi,Thailand,Malaysia,Malaysia,field,Malaysia,0,9,normal,Syazrul Idrus
1322007,2022,2022-07-08,"UKM-YSD Cricket Oval, Bangi",Bangi,Maldives,Thailand,Thailand,field,Maldives,41,0,normal,Azyan Farhath
1322009,2022,2022-07-09,"UKM-YSD Cricket Oval, Bangi",Bangi,Bhutan,Thailand,Bhutan,bat,Bhutan,28,0,normal,T Jamtsho
1322010,2022,2022-07-11,"UKM-YSD Cricket Oval, Bangi",Bangi,Bhutan,Malaysia,Malaysia,field,Malaysia,0,9,normal,Syed Aziz
1322011,2022,2022-07-02,"Indian Association Ground, Singapore",Singapore,Singapore,Papua New Guinea,Singapore,bat,Singapore,18,0,normal,A Mutreja
1322012,2022,2022-07-03,"Indian Association Ground, Singapore",Singapore,Singapore,Papua New Guinea,Singapore,bat,Papua New Guinea,0,3,normal,TP Ura
1322018,2022,2022-07-08,"Indian Association Ground, Singapore",Singapore,Singapore,Malaysia,Singapore,bat,Malaysia,0,6,normal,Sasha Azmi
1322019,2022,2022-07-09,"Indian Association Ground, Singapore",Singapore,Malaysia,Singapore,Singapore,field,Malaysia,75,0,normal,Siow Tzin Yee
1322020,2022,2022-07-10,"Indian Association Ground, Singapore",Singapore,Malaysia,Singapore,Malaysia,bat,Malaysia,79,0,normal,Siow Tzin Yee
1322176,2022,2022-06-30,"Sportpark Westvliet, Voorburg",The Hague,Netherlands,Namibia,Namibia,field,Namibia,0,3,normal,
1322276,2022,2022-11-20,"Bay Oval, Mount Maunganui",Mount Maunganui,India,New Zealand,New Zealand,field,India,65,0,normal,SA Yadav
1322277,2022,2022-11-22,"McLean Park, Napier",Napier,New Zealand,India,New Zealand,bat,,0,0,tie,Mohammed Siraj
1322334,2022,2022-10-07,"Hagley Oval, Christchurch",Christchurch,Pakistan,Bangladesh,Bangladesh,field,Pakistan,21,0,normal,Mohammad Rizwan
1322335,2022,2022-10-08,"Hagley Oval, Christchurch",Christchurch,New Zealand,Pakistan,New Zealand,bat,Pakistan,0,6,normal,Babar Azam
1322336,2022,2022-10-09,"Hagley Oval, Christchurch",Christchurch,Bangladesh,New Zealand,New Zealand,field,New Zealand,0,8,normal,MG Bracewell
1322337,2022,2022-10-11,"Hagley Oval, Christchurch",Christchurch,Pakistan,New Zealand,Pakistan,bat,New Zealand,0,9,normal,MG Bracewell
1322338,2022,2022-10-12,"Hagley Oval, Christchurch",Christchurch,New Zealand,Bangladesh,Bangladesh,field,New Zealand,48,0,normal,GD Phillips
1322339,2022,2022-10-13,"Hagley Oval, Christchurch",Christchurch,Bangladesh,Pakistan,Bangladesh,bat,Pakistan,0,7,normal,Mohammad Rizwan
1322340,2022,2022-10-14,"Hagley Oval, Christchurch",Christchurch,New Zealand,Pakistan,Pakistan,field,Pakistan,0,5,normal,Mohammad Nawaz
1322362,2023,2023-04-02,"Eden Park, Auckland",Auckland,Sri Lanka,New Zealand,New Zealand,field,,0,0,tie,KIC Asalanka
1322363,2023,2023-04-05,"University Oval, Dunedin",Dunedin,Sri Lanka,New Zealand,New Zealand,field,New Zealand,0,9,normal,AF Milne
1322364,2023,2023-04-08,"John Davies Oval, Queenstown",Queenstown,Sri Lanka,New Zealand,New Zealand,field,New Zealand,0,4,normal,TL Seifert
1323295,2022,2022-07-30,Harare Sports Club,Harare,Zimbabwe,Bangladesh,Zimbabwe,bat,Zimbabwe,17,0,normal,Sikandar Raza
1323296,2022,2022-07-31,Harare Sports Club,Harare,Zimbabwe,Bangladesh,Zimbabwe,bat,Bangladesh,0,7,normal,Mosaddek Hossain
1323297,2022,2022-08-02,Harare Sports Club,Harare,Zimbabwe,Bangladesh,Zimbabwe,bat,Zimbabwe,10,0,normal,RP Burl
1323550,2022,2022-07-08,Lisicji Jarak Cricket Ground,Belgrade,Bulgaria,Serbia,Serbia,field,Serbia,0,7,normal,A Mene-Ejegi
1323551,2022,2022-07-09,Lisicji Jarak Cricket Ground,Belgrade,Bulgaria,Serbia,Serbia,field,Serbia,0,8,normal,WAE Burton
1323552,2022,2022-07-09,Lisicji Jarak Cricket Ground,Belgrade,Bulgaria,Serbia,Serbia,field,Bulgaria,95,0,normal,Omar Rassol
1327228,2022,2022-09-20,"National Stadium, Karachi",Karachi,Pakistan,England,England,field,England,0,6,normal,L Wood
1327229,2022,2022-09-22,"National Stadium, Karachi",Karachi,England,Pakistan,England,bat,Pakistan,0,10,normal,Babar Azam
1327230,2022,2022-09-23,"National Stadium, Karachi",Karachi,England,Pakistan,Pakistan,field,England,63,0,normal,HC Brook
1327231,2022,2022-09-25,"National Stadium, Karachi",Karachi,Pakistan,England,England,field,Pakistan,3,0,normal,Haris Rauf
1327232,2022,2022-09-28,"Gaddafi Stadium, Lahore",Lahore,Pakistan,England,England,field,Pakistan,6,0,normal,Mohammad Rizwan
1327233,2022,2022-09-30,"Gaddafi Stadium, Lahore",Lahore,Pakistan,England,England,field,England,0,8,normal,PD Salt
1327234,2022,2022-10-02,"Gaddafi Stadium, Lahore",Lahore,England,Pakistan,Pakistan,field,England,67,0,normal,DJ Malan
1327270,2022,2022-08-28,Dubai International Cricket Stadium,Dubai,Pakistan,India,India,field,India,0,5,normal,HH Pandya
1327272,2022,2022-08-31,Dubai International Cricket Stadium,Dubai,India,Hong Kong,Hong Kong,field,India,40,0,normal,SA Yadav
1327273,2022,2022-09-01,Dubai International Cricket Stadium,Dubai,Bangladesh,Sri Lanka,Sri Lanka,field,Sri Lanka,0,2,normal,BKG Mendis
1327274,2022,2022-09-02,Sharjah Cricket Stadium,Sharjah,Pakistan,Hong Kong,Hong Kong,field,Pakistan,155,0,normal,Mohammad Rizwan
1327276,2022,2022-09-04,Dubai International Cricket Stadium,Dubai,India,Pakistan,Pakistan,field,Pakistan,0,5,normal,Mohammad Nawaz
1327277,2022,2022-09-06,Dubai International Cricket Stadium,Dubai,India,Sri Lanka,Sri Lanka,field,Sri Lanka,0,6,normal,MD Shanaka
1327280,2022,2022-09-09,Dubai International Cricket Stadium,Dubai,Pakistan,Sri Lanka,Sri Lanka,field,Sri Lanka,0,5,normal,PWH de Silva
1327281,2022,2022-09-11,Dubai International Cricket Stadium,Dubai,Sri Lanka,Pakistan,Pakistan,field,Sri Lanka,23,0,normal,PBB Rajapaksa
1327503,2022,2022-09-20,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,Australia,Australia,field,Australia,0,4,normal,C Green
1327504,2022,2022-09-23,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Nagpur,Australia,India,India,field,India,0,6,normal,RG Sharma
1327505,2022,2022-09-25,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Australia,India,India,field,India,0,6,normal,SA Yadav
1327506,2022,2022-09-28,"Greenfield International Stadium, Thiruvananthapuram",Thiruvananthapuram,South Africa,India,India,field,India,0,8,normal,Arshdeep Singh
1327507,2022,2022-10-02,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,South Africa,South Africa,field,India,16,0,normal,KL Rahul
1327508,2022,2022-10-04,"Holkar Cricket Stadium, Indore",Indore,South Africa,India,India,field,South Africa,49,0,normal,RR Rossouw
1328470,2022,2022-08-13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Kuwait,Bahrain,Bahrain,field,Kuwait,20,0,normal,Mohamed Shafeeq
1328471,2022,2022-08-14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Bahrain,Kuwait,Kuwait,field,Kuwait,0,5,normal,Usman Patel
1328473,2022,2022-08-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Kuwait,Bahrain,Bahrain,field,Kuwait,102,0,normal,Shahrukh Quddus
1328474,2022,2022-08-25,"Gymkhana Club Ground, Nairobi",Nairobi,Kenya,Nepal,Nepal,field,Nepal,0,5,normal,Sompal Kami
1328476,2022,2022-08-28,"Gymkhana Club Ground, Nairobi",Nairobi,Kenya,Nepal,Kenya,bat,Nepal,0,4,normal,G Malla
1328477,2022,2022-08-29,"Gymkhana Club Ground, Nairobi",Nairobi,Kenya,Nepal,Kenya,bat,Kenya,7,0,normal,SO Ngoche
1328478,2022,2022-08-30,"Gymkhana Club Ground, Nairobi",Nairobi,Nepal,Kenya,Nepal,bat,Nepal,31,0,normal,G Malla
1328849,2022,2022-08-20,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Hong Kong,Singapore,Singapore,field,Hong Kong,8,0,normal,Ehsan Khan
1328850,2022,2022-08-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,United Arab Emirates,Kuwait,Kuwait,field,Kuwait,0,1,normal,ED Silva
1328851,2022,2022-08-22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,United Arab Emirates,Singapore,Singapore,field,United Arab Emirates,47,0,normal,KP Meiyappan
1328852,2022,2022-08-23,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Kuwait,Hong Kong,Hong Kong,field,Hong Kong,0,8,normal,Yasim Murtaza
1328853,2022,2022-08-24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Singapore,Kuwait,Singapore,bat,Kuwait,0,6,normal,Yasin Patel
1328854,2022,2022-08-24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,United Arab Emirates,Hong Kong,Hong Kong,field,Hong Kong,0,8,normal,Ehsan Khan
1329247,2022,2022-09-12,"ICC Academy, Dubai",Dubai,Zimbabwe,United Arab Emirates,Zimbabwe,bat,Zimbabwe,47,0,normal,M Mupachikwa
